DATE, OPEN, HIGH, LOW, CLOSE, VOL, OI, P, R, RINFO
19900102,99625.0000,99937.5000,99468.8000,99625.0000,13547,69657,0,0,0.0000
19900103,99593.8000,99687.5000,99343.8000,99406.3000,30099,68404,0,0,0.0000
19900104,99375.0000,99687.5000,99343.8000,99468.8000,17601,67566,0,0,0.0000
19900105,99500.0000,99875.0000,99312.5000,99437.5000,18813,68180,0,0,0.0000
19900108,99343.8000,99437.5000,99218.8000,99312.5000,17144,68418,0,0,0.0000
19900109,99343.8000,99468.8000,99218.8000,99281.3000,13159,67867,0,0,0.0000
19900110,99281.3000,99375.0000,99031.3000,99250.0000,12871,65324,0,0,0.0000
19900111,99437.5000,99437.5000,99187.5000,99218.8000,19972,66219,0,0,0.0000
19900112,98937.5000,99156.3000,98656.3000,98937.5000,29695,64815,0,0,0.0000
19900115,98718.8000,98781.3000,98375.0000,98468.8000,6497,66477,0,0,0.0000
19900116,98468.8000,98656.3000,98156.3000,98250.0000,29616,68121,0,0,0.0000
19900117,98312.5000,98437.5000,98187.5000,98281.3000,19267,68386,0,0,0.0000
19900118,97843.8000,98125.0000,97406.3000,97500.0000,30249,69900,0,0,0.0000
19900119,97875.0000,97875.0000,97562.5000,97843.8000,20550,71257,0,0,0.0000
19900122,97937.5000,97968.8000,97718.8000,97812.5000,15292,72319,0,0,0.0000
19900123,97750.0000,98000.0000,97593.8000,97968.8000,20962,72996,0,0,0.0000
19900124,97125.0000,97375.0000,97062.5000,97281.3000,28551,73907,0,0,0.0000
19900125,97406.3000,97593.8000,97000.0000,97031.3000,24038,74721,0,0,0.0000
19900126,97218.8000,97218.8000,96437.5000,96531.3000,37019,71700,0,0,0.0000
19900129,96625.0000,96718.8000,96500.0000,96562.5000,12716,72359,0,0,0.0000
19900130,96468.8000,96656.3000,95968.8000,96406.3000,30937,73196,0,0,0.0000
19900131,96250.0000,97031.3000,96062.5000,97000.0000,32672,71169,0,0,0.0000
19900201,97187.5000,97375.0000,96781.3000,97125.0000,26222,72225,0,0,0.0000
19900202,97031.3000,97125.0000,96562.5000,96656.3000,24330,72460,0,0,0.0000
19900205,96437.5000,96500.0000,96312.5000,96468.8000,13527,72189,0,0,0.0000
19900206,96281.3000,96343.8000,96062.5000,96218.8000,25371,72496,0,0,0.0000
19900207,95812.5000,96250.0000,95781.3000,96250.0000,43962,74558,0,0,0.0000
19900208,96281.3000,96937.5000,96187.5000,96625.0000,38482,72925,0,0,0.0000
19900209,96968.8000,97718.8000,96875.0000,97593.8000,40757,72231,0,0,0.0000
19900212,97593.8000,97812.5000,97031.3000,97093.8000,28029,70069,0,0,0.0000
19900213,97125.0000,97468.8000,96906.3000,97406.3000,30936,69012,0,0,0.0000
19900214,97500.0000,97562.5000,97250.0000,97343.8000,29123,66587,0,0,0.0000
19900215,97218.8000,97281.3000,96750.0000,96812.5000,45945,63899,0,0,0.0000
19900216,96906.3000,97125.0000,96718.8000,96906.3000,30896,60935,0,0,0.0000
19900220,96187.5000,96343.8000,95437.5000,95656.3000,52665,60811,0,0,0.0000
19900221,95687.5000,95875.0000,95343.8000,95687.5000,36889,55185,0,0,0.0000
19900222,95687.5000,96312.5000,95468.8000,96218.8000,31734,53849,199006,199006,0.0000
19900223,96187.5000,96500.0000,96000.0000,96156.3000,35257,32209,0,0,-31.3000
